0,0.8444,23,0.1333
1,0.8929,25,0.0714
2,0.9184,39,0.0408
3,0.8367,23,0.1224
4,0.9545,7,0.0227
5,0.5385,2,0.2308
6,0.5833,23,0.1667
7,0.8571,0,0.0357
8,0.8235,2,0.0588
9,0.8824,29,0.0588
10,0.9714,28,0.0286
11,0.8333,2,0.0556
12,1.0,0,0.0
13,1.0,0,0.0
14,0.8,0,0.04
15,0.8571,0,0.0357
16,1.0,0,0.0
17,0.6875,3,0.1875
18,0.5714,36,0.2143
19,0.6667,1,0.0833
20,0.7143,29,0.2143
21,1.0,0,0.0
22,1.0,0,0.0
23,0.9,8,0.025
24,0.8519,0,0.0741
25,0.6957,23,0.2609
26,0.5238,26,0.2381
27,0.8276,3,0.069
28,1.0,0,0.0
29,0.9722,1,0.0278
30,0.76,3,0.12
31,0.8077,12,0.0769
32,0.7083,2,0.125
33,0.9688,2,0.0313
34,0.9706,7,0.0294
35,0.8462,16,0.0385
36,1.0,0,0.0
37,0.8929,23,0.1071
38,0.9615,1,0.0385
39,0.4348,23,0.3043

0,0.8444,23,0.1111
1,0.9107,23,0.0714
2,0.9184,3,0.0816
3,0.9184,23,0.0612
4,0.9545,2,0.0227
5,0.5385,3,0.3846
6,0.8333,2,0.0833
7,0.8214,1,0.0714
8,0.5882,3,0.3824
9,0.4412,9,0.3824
10,0.8571,3,0.0857
11,0.8333,11,0.1111
12,0.3913,3,0.3043
13,0.625,0,0.375
14,0.8,23,0.08
15,0.4286,2,0.2857
16,0.8696,3,0.1304
17,0.6875,23,0.3125
18,0.5714,36,0.4286
19,1.0,0,0.0
20,1.0,0,0.0
21,0.8333,3,0.0667
22,0.875,3,0.0938
23,0.675,3,0.275
24,0.3333,3,0.3333
25,0.4783,1,0.2609
26,0.8095,23,0.0952
27,0.4483,27,0.2759
28,1.0,0,0.0
29,0.7222,3,0.1667
30,1.0,0,0.0
31,0.4231,0,0.1538
32,0.9167,29,0.0833
33,0.9375,3,0.0625
34,0.7059,1,0.1471
35,0.5769,3,0.2308
36,1.0,0,0.0
37,0.8571,2,0.0357
38,0.5385,29,0.1923
39,0.6522,2,0.2174